,type,name,salary,score,contract,include,exclude,locked,points,i
1,driver,Norris,28.6,155,,1.0,,False,743,5179
3,driver,Hamilton,25.8,140,,,,False,743,5179
11,driver,Sainz,14.6,192,,1.0,,False,743,5179
12,driver,Ocon,13.2,91,,,,False,743,5179
19,driver,Bortoleto,3.4,75,,,,False,743,5179
26,team,Williams,13.2,90,,1.0,,False,743,5175
1,driver,Norris,28.6,155,,1.0,,False,743,5175
2,driver,Leclerc,27.2,144,,,,False,743,5175
11,driver,Sainz,14.6,192,,1.0,,False,743,5175
13,driver,Albon,11.8,87,,,,False,743,5175
19,driver,Bortoleto,3.4,75,,,,False,743,5175
26,team,Williams,13.2,90,,1.0,,False,743,5115
1,driver,Norris,28.6,155,,1.0,,False,743,5115
2,driver,Leclerc,27.2,144,,,,False,743,5115
11,driver,Sainz,14.6,192,,1.0,,False,743,5115
13,driver,Albon,11.8,87,,,,False,743,5115
19,driver,Bortoleto,3.4,75,,,,False,743,5115
26,team,Williams,13.2,90,,1.0,,False,743,5082
1,driver,Norris,28.6,155,,1.0,,False,743,5082
3,driver,Hamilton,25.8,140,,,,False,743,5082
11,driver,Sainz,14.6,192,,1.0,,False,743,5082
12,driver,Ocon,13.2,91,,,,False,743,5082
19,driver,Bortoleto,3.4,75,,,,False,743,5082
26,team,Williams,13.2,90,,1.0,,False,743,4979
1,driver,Norris,28.6,155,,1.0,,False,743,4979
7,driver,Antonelli,20.2,120,,,,False,743,4979
8,driver,Alonso,18.8,111,,,,False,743,4979
11,driver,Sainz,14.6,192,,1.0,,False,743,4979
19,driver,Bortoleto,3.4,75,,,,False,743,4979
26,team,Williams,13.2,90,,1.0,,False,743,4801
1,driver,Norris,28.6,155,,1.0,,False,743,4801
3,driver,Hamilton,25.8,140,,,,False,743,4801
11,driver,Sainz,14.6,192,,1.0,,False,743,4801
12,driver,Ocon,13.2,91,,,,False,743,4801
19,driver,Bortoleto,3.4,75,,,,False,743,4801
26,team,Williams,13.2,90,,1.0,,False,743,4779
1,driver,Norris,28.6,155,,1.0,,False,743,4779
3,driver,Hamilton,25.8,140,,,,False,743,4779
11,driver,Sainz,14.6,192,,1.0,,False,743,4779
12,driver,Ocon,13.2,91,,,,False,743,4779
19,driver,Bortoleto,3.4,75,,,,False,743,4779
26,team,Williams,13.2,90,,1.0,,False,743,4774
1,driver,Norris,28.6,155,,1.0,,False,743,4774
3,driver,Hamilton,25.8,140,,,,False,743,4774
11,driver,Sainz,14.6,192,,1.0,,False,743,4774
12,driver,Ocon,13.2,91,,,,False,743,4774
19,driver,Bortoleto,3.4,75,,,,False,743,4774
26,team,Williams,13.2,90,,1.0,,False,743,4742
1,driver,Norris,28.6,155,,1.0,,False,743,4742
3,driver,Hamilton,25.8,140,,,,False,743,4742
11,driver,Sainz,14.6,192,,1.0,,False,743,4742
12,driver,Ocon,13.2,91,,,,False,743,4742
19,driver,Bortoleto,3.4,75,,,,False,743,4742
26,team,Williams,13.2,90,,1.0,,False,743,4682
1,driver,Norris,28.6,155,,1.0,,False,743,4682
7,driver,Antonelli,20.2,120,,,,False,743,4682
8,driver,Alonso,18.8,111,,,,False,743,4682
11,driver,Sainz,14.6,192,,1.0,,False,743,4682
19,driver,Bortoleto,3.4,75,,,,False,743,4682
26,team,Williams,13.2,90,,1.0,,False,743,4648
1,driver,Norris,28.6,155,,1.0,,False,743,4648
7,driver,Antonelli,20.2,120,,,,False,743,4648
8,driver,Alonso,18.8,111,,,,False,743,4648
11,driver,Sainz,14.6,192,,1.0,,False,743,4648
19,driver,Bortoleto,3.4,75,,,,False,743,4648
26,team,Williams,13.2,90,,1.0,,False,743,4484
1,driver,Norris,28.6,155,,1.0,,False,743,4484
2,driver,Leclerc,27.2,144,,,,False,743,4484
11,driver,Sainz,14.6,192,,1.0,,False,743,4484
13,driver,Albon,11.8,87,,,,False,743,4484
19,driver,Bortoleto,3.4,75,,,,False,743,4484
